TITLE		
DATA TYPE		
ORIGIN	JASCO	
OWNER		
DATE	16/04/28	
TIME	14:54:17	
SPECTROMETER/DATA SYSTEM	"JASCO Corp., J-810, Rev. 1.00"	
RESOLUTION		
DELTAX	-0.2	
XUNITS	NANOMETERS	
YUNITS	CD[mdeg]	
Y2UNITS	HT[V]	
Y3UNITS	External[V]	
FIRSTX	350	
LASTX	240	
NPOINTS	551	
FIRSTY	-1.63827	
MAXY	6.76585	
MINY	-91.55531	
XYDATA		
305.4	1.17257	313.444
305.2	1.15999	313.524
305	1.23085	313.611
304.8	1.27184	313.716
304.6	1.31649	313.825
304.4	1.33565	313.954
304.2	1.35508	314.081
304	1.31433	314.21
303.8	1.30281	314.374
303.6	1.32231	314.533
303.4	1.23294	314.701
303.2	1.09611	314.872
303	1.08527	315.044
302.8	1.09145	315.241
302.6	1.12451	315.428
302.4	1.18935	315.629
302.2	1.22768	315.821
302	1.22706	316.031
301.8	1.23825	316.254
301.6	1.28099	316.477
301.4	1.27252	316.72
301.2	1.27656	316.953
301	1.26152	317.202
300.8	1.23165	317.458
300.6	1.17348	317.734
300.4	1.1584	318.018
300.2	1.13597	318.301
300	1.17718	318.61
299.8	1.16272	318.933
299.6	1.11584	319.263
299.4	1.06479	319.605
299.2	1.05958	319.948
299	1.05194	320.303
298.8	1.09068	320.652
298.6	1.093	321.021
298.4	1.04785	321.391
298.2	1.08617	321.759
298	1.09503	322.14
297.8	1.04232	322.51
297.6	1.07804	322.893
297.4	1.02745	323.278
297.2	0.986839	323.683
297	1.00284	324.095
296.8	1.00634	324.502
296.6	0.953265	324.928
296.4	0.926307	325.37
296.2	0.946276	325.821
296	0.933314	326.292
295.8	0.937011	326.777
295.6	0.952035	327.27
295.4	0.971194	327.781
295.2	0.94242	328.296
295	0.936908	328.837
294.8	0.950129	329.388
294.6	1.02254	329.962
294.4	0.956689	330.571
294.2	0.907699	331.197
294	0.866174	331.852
293.8	0.752314	332.505
293.6	0.62965	333.204
293.4	0.563697	333.923
293.2	0.499957	334.664
293	0.356418	335.419
292.8	0.320115	336.189
292.6	0.255628	336.958
292.4	0.234124	337.724
292.2	0.230265	338.497
292	0.235079	339.265
291.8	0.194976	340.02
291.6	0.110426	340.751
291.4	0.0572474	341.468
291.2	-0.0481359	342.146
291	-0.108364	342.803
290.8	-0.156917	343.435
290.6	-0.154751	344.05
290.4	-0.0993423	344.643
290.2	-0.0810781	345.207
290	-0.0278569	345.748
289.8	0.00509543	346.254
289.6	0.0458394	346.746
289.4	0.154762	347.21
289.2	0.118574	347.653
289	0.105737	348.073
288.8	0.0664754	348.475
288.6	0.104807	348.861
288.4	0.194977	349.25
288.2	0.199827	349.642
288	0.198069	350.031
287.8	0.245073	350.272
287.6	0.320232	350.68
287.4	0.401783	351.116
287.2	0.351711	351.567
287	0.234203	352.048
286.8	0.136191	352.554
286.6	0.132681	353.091
286.4	0.193834	353.652
286.2	0.212236	354.402
286	0.207958	355.012
285.8	0.166836	355.626
285.6	0.155189	356.269
285.4	0.201015	356.919
285.2	0.253613	357.551
285	0.199405	358.18
284.8	0.193255	358.825
284.6	0.192839	359.459
284.4	0.223595	360.067
284.2	0.296529	360.647
284	0.317183	361.204
283.8	0.460335	361.726
283.6	0.516692	362.229
283.4	0.579684	362.709
283.2	0.706298	363.137
283	0.693169	363.534
282.8	0.756576	363.908
282.6	0.669264	364.247
282.4	0.701096	364.605
282.2	0.62621	364.909
282	0.588289	365.199
281.8	0.614932	365.471
281.6	0.639336	365.726
281.4	0.644464	365.984
281.2	0.658798	366.202
281	0.754986	366.429
280.8	0.824934	366.623
280.6	0.900877	366.81
280.4	1.02318	366.974
280.2	1.12775	367.136
280	1.16681	367.286
279.8	1.18292	367.421
279.6	1.33374	367.558
279.4	1.38003	367.692
279.2	1.50367	367.821
279	1.65824	367.949
278.8	1.73143	368.085
278.6	1.77321	368.223
278.4	1.81976	368.369
278.2	2.03168	368.515
278	2.10233	368.658
277.8	2.21808	368.792
277.6	2.20962	368.927
277.4	2.39489	369.065
277.2	2.48265	369.192
277	2.65474	369.322
276.8	2.6966	369.457
276.6	2.67664	369.569
276.4	2.74018	369.686
276.2	2.74314	369.831
276	2.76351	369.977
275.8	2.74698	370.131
275.6	2.82206	370.272
275.4	2.86273	370.411
275.2	3.03491	370.522
275	3.21725	370.625
274.8	3.34311	370.741
274.6	3.42791	370.828
274.4	3.57954	370.905
274.2	3.72536	370.986
274	3.79213	371.061
273.8	3.85788	371.127
273.6	3.9996	371.202
273.4	3.96247	371.271
273.2	3.96016	371.357
273	4.0702	371.415
272.8	4.17957	371.469
272.6	4.30346	371.492
272.4	4.38055	371.524
272.2	4.4972	371.57
272	4.49357	371.585
271.8	4.48947	371.62
271.6	4.59665	371.642
271.4	4.55762	371.653
271.2	4.50664	371.66
271	4.48007	371.713
270.8	4.43288	371.783
270.6	4.3618	371.84
270.4	4.33963	371.942
270.2	4.44445	372.051
270	4.50295	372.142
269.8	4.60697	372.241
269.6	4.72956	372.379
269.4	4.86027	372.5
269.2	4.87229	372.609
269	4.90971	372.693
268.8	5.01735	372.793
268.6	5.02575	372.876
268.4	4.97849	372.944
268.2	4.97171	373.038
268	4.91645	373.086
267.8	4.94493	373.124
267.6	5.10885	373.173
267.4	5.23739	373.201
267.2	5.31604	373.218
