nm, A
410.000000, 2.999465
409.000000, 2.999417
408.000000, 3.004751
407.000000, 2.999518
406.000000, 2.994312
405.000000, 2.994089
404.000000, 2.988824
403.000000, 2.973696
402.000000, 2.983844
401.000000, 2.988808
400.000000, 2.983600
399.000000, 2.968573
398.000000, 2.968594
397.000000, 2.968398
396.000000, 2.958596
395.000000, 2.921527
394.000000, 2.930445
393.000000, 2.916943
392.000000, 2.899581
391.000000, 2.883067
390.000000, 2.859229
389.000000, 2.833009
388.000000, 2.794733
387.000000, 2.753679
386.000000, 2.732809
385.000000, 2.688915
384.000000, 2.637373
383.000000, 2.962354
382.000000, 2.781792
381.000000, 2.732864
380.000000, 2.630666
379.000000, 2.493641
378.000000, 2.452153
377.000000, 2.367165
376.000000, 2.303669
375.000000, 2.246322
374.000000, 2.180540
373.000000, 2.131433
372.000000, 2.082130
371.000000, 2.037298
370.000000, 2.003884
369.000000, 1.974074
368.000000, 1.940049
367.000000, 1.910650
366.000000, 1.887921
365.000000, 1.862361
364.000000, 1.839010
363.000000, 1.811727
362.000000, 1.787745
361.000000, 1.764693
360.000000, 1.741140
359.000000, 1.715987
358.000000, 1.691032
357.000000, 1.665487
