nm, A
410.000000, 0.086721
409.000000, 0.086769
408.000000, 0.086764
407.000000, 0.086668
406.000000, 0.086610
405.000000, 0.086833
404.000000, 0.086896
403.000000, 0.086785
402.000000, 0.086737
401.000000, 0.086912
400.000000, 0.086981
399.000000, 0.086944
398.000000, 0.086923
397.000000, 0.087119
396.000000, 0.087162
395.000000, 0.087247
394.000000, 0.087284
393.000000, 0.087422
392.000000, 0.087581
391.000000, 0.087549
390.000000, 0.087693
389.000000, 0.087810
388.000000, 0.087996
387.000000, 0.087959
386.000000, 0.088214
385.000000, 0.088368
384.000000, 0.088470
383.000000, 0.083404
382.000000, 0.084669
381.000000, 0.085292
380.000000, 0.086033
379.000000, 0.086403
378.000000, 0.086949
377.000000, 0.087528
376.000000, 0.087805
375.000000, 0.088097
374.000000, 0.088677
373.000000, 0.088970
372.000000, 0.089210
371.000000, 0.089381
370.000000, 0.089781
369.000000, 0.089915
368.000000, 0.090070
367.000000, 0.090219
366.000000, 0.090476
365.000000, 0.090364
364.000000, 0.090583
363.000000, 0.090669
362.000000, 0.090695
361.000000, 0.090733
360.000000, 0.090952
359.000000, 0.090888
358.000000, 0.090958
357.000000, 0.090979
356.000000, 0.091226
355.000000, 0.091279
354.000000, 0.091467
353.000000, 0.091617
352.000000, 0.091858
351.000000, 0.091917
350.000000, 0.092234
349.000000, 0.092476
348.000000, 0.092680
347.000000, 0.093175
346.000000, 0.093423
345.000000, 0.093633
344.000000, 0.094123
343.000000, 0.094506
342.000000, 0.094841
341.000000, 0.095079
340.000000, 0.095485
339.000000, 0.095771
338.000000, 0.096140
337.000000, 0.096557
336.000000, 0.096595
335.000000, 0.097002
334.000000, 0.097176
333.000000, 0.097355
332.000000, 0.097856
331.000000, 0.097888
330.000000, 0.097948
329.000000, 0.098291
328.000000, 0.098569
327.000000, 0.098776
326.000000, 0.098738
325.000000, 0.099000
324.000000, 0.099141
323.000000, 0.099322
322.000000, 0.099365
321.000000, 0.099655
320.000000, 0.099600
319.000000, 0.099709
318.000000, 0.099682
317.000000, 0.099813
316.000000, 0.100026
315.000000, 0.099895
314.000000, 0.100076
313.000000, 0.100190
312.000000, 0.100037
311.000000, 0.100179
310.000000, 0.100338
309.000000, 0.100294
308.000000, 0.100486
307.000000, 0.100393
306.000000, 0.100628
305.000000, 0.100749
304.000000, 0.100743
303.000000, 0.101077
302.000000, 0.101012
301.000000, 0.101286
300.000000, 0.101324
