nm, A
410.000000, 0.987142
409.000000, 1.038633
408.000000, 1.079834
407.000000, 1.109465
406.000000, 1.126071
405.000000, 1.129264
404.000000, 1.120222
403.000000, 1.099767
402.000000, 1.069905
401.000000, 1.032903
400.000000, 0.990812
399.000000, 0.945976
398.000000, 0.900029
397.000000, 0.853999
396.000000, 0.809993
395.000000, 0.768646
394.000000, 0.730301
393.000000, 0.695331
392.000000, 0.663539
391.000000, 0.635529
390.000000, 0.609998
389.000000, 0.587065
388.000000, 0.566023
387.000000, 0.546535
386.000000, 0.527935
385.000000, 0.509990
384.000000, 0.492716
383.000000, 0.476459
382.000000, 0.460319
381.000000, 0.444283
380.000000, 0.428970
379.000000, 0.414473
378.000000, 0.400887
377.000000, 0.388024
376.000000, 0.376395
375.000000, 0.365521
374.000000, 0.356156
373.000000, 0.347466
372.000000, 0.340083
371.000000, 0.333024
370.000000, 0.327065
369.000000, 0.321567
368.000000, 0.316666
367.000000, 0.311932
366.000000, 0.307529
365.000000, 0.303556
364.000000, 0.299449
363.000000, 0.295521
362.000000, 0.291717
361.000000, 0.287707
360.000000, 0.283684
359.000000, 0.279692
358.000000, 0.275574
357.000000, 0.271321
356.000000, 0.266864
355.000000, 0.262278
354.000000, 0.258129
353.000000, 0.253523
352.000000, 0.249034
351.000000, 0.244721
350.000000, 0.240276
349.000000, 0.236046
348.000000, 0.231817
347.000000, 0.227534
346.000000, 0.223242
345.000000, 0.219249
344.000000, 0.215495
343.000000, 0.211354
342.000000, 0.207398
341.000000, 0.203785
340.000000, 0.199722
339.000000, 0.195757
338.000000, 0.192340
337.000000, 0.188300
336.000000, 0.184803
335.000000, 0.181055
334.000000, 0.177500
333.000000, 0.174047
332.000000, 0.170443
331.000000, 0.166880
330.000000, 0.163914
329.000000, 0.160565
328.000000, 0.157412
327.000000, 0.153742
326.000000, 0.150561
325.000000, 0.147762
324.000000, 0.145022
323.000000, 0.142304
322.000000, 0.139986
321.000000, 0.137449
320.000000, 0.135574
319.000000, 0.133268
318.000000, 0.131332
317.000000, 0.129865
316.000000, 0.127909
315.000000, 0.126787
314.000000, 0.125473
313.000000, 0.124461
312.000000, 0.123836
311.000000, 0.123286
310.000000, 0.122605
309.000000, 0.122837
308.000000, 0.123198
307.000000, 0.123851
306.000000, 0.124942
305.000000, 0.126585
304.000000, 0.128729
303.000000, 0.130929
302.000000, 0.134207
301.000000, 0.137553
300.000000, 0.141606
